"","mom","embryo","Treatment","Elevation","Estimate","Std. Error","t value","Pr(>|t|)","coll_date","coll_date_numeric","Treatment_numeric","Elevation_numeric","Mom_numeric"
"1","Higher zone WINTER 1",1,"Control","Higher",0.0141267302667832,0.000621591383491294,-22.7267150767721,2.22034115470403e-05,"Winter",1,0,1,5
"2","Higher zone WINTER 1",2,"Control","Higher",0.0155203812781818,0.00187736282663438,-8.26711867199682,0.00370674451100845,"Winter",1,0,1,5
"3","Higher zone WINTER 1",3,"Control","Higher",0.0147794798127273,0.000455827199011367,-32.4234267827416,6.4477591402712e-05,"Winter",1,0,1,5
"4","Higher zone WINTER 1",4,"Control","Higher",0.0165709321458042,0.00140047372953569,-11.832376285486,0.000292052787406789,"Winter",1,0,1,5
"5","Higher zone WINTER 1",5,"Control","Higher",0.0191486455654545,0.000731255309315455,-26.1859918437789,0.00012217666819597,"Winter",1,0,1,5
"6","Higher zone WINTER 1",6,"Control","Higher",0.012911344693007,0.00175359865151916,-7.36277065554411,0.00181292373707019,"Winter",1,0,1,5
"7","Higher zone WINTER 1",7,"Control","Higher",0.0355809107142857,NA,NA,NA,"Winter",1,0,1,5
"8","Higher zone WINTER 1",8,"Control","Higher",0.01308287384,0.000244791467078592,-53.444975007236,1.44278966222884e-05,"Winter",1,0,1,5
"9","Higher zone WINTER 1",9,"Control","Higher",0.0190011359654545,0.000838815525331896,-22.6523417743565,0.000188405197195873,"Winter",1,0,1,5
"10","Higher zone WINTER 1",10,"Control","Higher",0.0160292127561706,0.00109349557645558,-14.6586900773089,0.000126012942010853,"Winter",1,0,1,5
"11","Higher zone WINTER 1",11,"Control","Higher",0.0129809502872727,0.000801572243462418,-16.1943610113058,0.000512211894595294,"Winter",1,0,1,5
"12","Higher zone WINTER 1",12,"Control","Higher",0.0150703158181818,0.00118201888260593,-12.7496405006299,0.00104097784570778,"Winter",1,0,1,5
"13","Higher zone WINTER 1",1,"Heat Shock","Higher",0.0102030401779119,0.00364882997700795,-2.79624982314973,0.0680644572940068,"Winter",1,1,1,5
"14","Higher zone WINTER 1",4,"Heat Shock","Higher",0.0155685885948153,0.00178570231000879,-8.71846808258803,0.00317654282156444,"Winter",1,1,1,5
"15","Higher zone WINTER 1",5,"Heat Shock","Higher",0.02266659675,NA,NA,NA,"Winter",1,1,1,5
"16","Higher zone WINTER 1",6,"Heat Shock","Higher",0.01292551425,NA,NA,NA,"Winter",1,1,1,5
"17","Higher zone WINTER 1",8,"Heat Shock","Higher",0.0155941814325284,0.00133716779713868,-11.6620976558794,0.00135444987252724,"Winter",1,1,1,5
"18","Higher zone WINTER 1",9,"Heat Shock","Higher",0.00179949087499999,NA,NA,NA,"Winter",1,1,1,5
"19","Higher zone WINTER 1",10,"Heat Shock","Higher",0.0128790477006392,0.00198545771112215,-6.48668950665293,0.00743769759174118,"Winter",1,1,1,5
"20","Higher zone WINTER 1",11,"Heat Shock","Higher",0.01940885690625,0.00166782710759144,-11.6372115658193,0.00136300658263069,"Winter",1,1,1,5
"21","Higher zone WINTER 2",1,"Control","Higher",0.0142104242162993,0.00105048254816349,-13.5275205105907,0.00542027593498011,"Winter",1,0,1,6
"22","Higher zone WINTER 2",2,"Control","Higher",0.012413507626943,0.00200487995975244,-6.19164632104746,0.10193887406751,"Winter",1,0,1,6
"23","Higher zone WINTER 2",3,"Control","Higher",0.0137560257098361,0.000973167089376775,-14.1353174187647,0.00496756296763163,"Winter",1,0,1,6
"24","Higher zone WINTER 2",4,"Control","Higher",0.0142348673245902,0.000452297734984518,-31.4723382929995,0.0010080565639775,"Winter",1,0,1,6
"25","Higher zone WINTER 2",6,"Control","Higher",0.0130583029532381,0.00112952690455328,-11.5608604811433,0.00739909639038456,"Winter",1,0,1,6
"26","Higher zone WINTER 2",7,"Control","Higher",0.0115339428426229,0.00273582369650354,-4.21589404951922,0.0519199026733822,"Winter",1,0,1,6
