"","X","embryo","yolk_area","embryo_area","yolk_embryo_ratio","mom","elevation","treatment","day_of_exp","julian_date"
"1",1,1,1258992,2488471,0.505929946541471,"HZ11","higher","Control",2,164
"2",2,2,1129491,2223120,0.50806569146065,"HZ11","higher","Control",2,164
"3",3,3,1439673,2525839,0.569978133998248,"HZ11","higher","Control",2,164
"4",4,4,1364493,2431124,0.561260141399616,"HZ11","higher","Control",2,164
"5",5,5,1304381,2434425,0.535806607309734,"HZ11","higher","Control",2,164
"6",6,6,1393699,2671843,0.52162458647458,"HZ11","higher","Control",2,164
"7",7,7,963195,2257946,0.426580175079475,"HZ11","higher","Control",2,164
"8",8,8,1525293,2643757,0.57694145112429,"HZ11","higher","Control",2,164
"9",9,9,1208623,2376985,0.508468921764336,"HZ11","higher","Control",2,164
"10",10,10,1288588,2529709,0.509381909144491,"HZ11","higher","Control",2,164
"11",11,11,1093503,2296256,0.476211276094651,"HZ11","higher","Control",2,164
"12",12,12,1559243,2542145,0.613357223919171,"HZ11","higher","Control",2,164
"13",1,1,1356772,2559115,0.530172344736364,"HZ12","higher","Control",2,164
"14",2,2,780246,2478864,0.314759502739965,"HZ12","higher","Control",2,164
"15",3,3,1111549,2557076,0.434695331699175,"HZ12","higher","Control",2,164
"16",4,4,999060,2544853,0.392580632358726,"HZ12","higher","Control",2,164
"17",5,5,1088839,2594514,0.419669733907776,"HZ12","higher","Control",2,164
"18",6,6,1012303,2471413,0.409604950690152,"HZ12","higher","Control",2,164
"19",7,7,1247917,2506432,0.497885839312616,"HZ12","higher","Control",2,164
"20",8,8,1129237,2548751,0.443055049316312,"HZ12","higher","Control",2,164
"21",9,9,928789,2374293,0.391185502379024,"HZ12","higher","Control",2,164
"22",10,10,1049856,2445191,0.429355416407144,"HZ12","higher","Control",2,164
"23",11,11,978183,2511634,0.389460805196936,"HZ12","higher","Control",2,164
"24",12,12,912510,2448237,0.372721268406613,"HZ12","higher","Control",2,164
"25",1,1,1034232,2767084,0.373762415597069,"HZ13","higher","Control",2,164
"26",2,2,1122975,2718111,0.41314537927259,"HZ13","higher","Control",2,164
"27",3,3,1056220,2712473,0.389393737744118,"HZ13","higher","Control",2,164
"28",4,4,1119294,2721719,0.411245246111006,"HZ13","higher","Control",2,164
"29",5,5,1165107,2799235,0.416223361025423,"HZ13","higher","Control",2,164
"30",6,6,1005601,2560853,0.392682047739562,"HZ13","higher","Control",2,164
"31",7,7,1018901,2574272,0.395801609153967,"HZ13","higher","Control",2,164
"32",8,8,1169685,2749336,0.425442725079801,"HZ13","higher","Control",2,164
"33",9,9,1145993,2737280,0.418661225742343,"HZ13","higher","Control",2,164
"34",10,10,1316204,3009402,0.437363967990983,"HZ13","higher","Control",2,164
"35",11,11,1153505,2782243,0.414595346272773,"HZ13","higher","Control",2,164
"36",12,12,1138568,2696665,0.422213363543488,"HZ13","higher","Control",2,164
"37",1,1,1091751,2089409,0.522516654230933,"HZ9","higher","Control",2,164
"38",2,2,1342331,2272741,0.590622072642681,"HZ9","higher","Control",2,164
"39",3,3,1270352,2087338,0.608599086491982,"HZ9","higher","Control",2,164
"40",4,4,994541,1997052,0.498004558719553,"HZ9","higher","Control",2,164
"41",5,5,1261635,2077493,0.6072872447705,"HZ9","higher","Control",2,164
"42",6,6,1333242,2178182,0.612089347905731,"HZ9","higher","Control",2,164
"43",7,7,1410880,2231070,0.63237818625144,"HZ9","higher","Control",2,164
"44",8,8,1261588,2217762,0.568856351583263,"HZ9","higher","Control",2,164
"45",9,9,1391398,2179125,0.638512246888086,"HZ9","higher","Control",2,164
"46",10,10,1546227,2187134,0.706964913901023,"HZ9","higher","Control",2,164
"47",11,11,1271347,2126222,0.597937092175699,"HZ9","higher","Control",2,164
