,X.1,X,embryo,yolk_area,embryo_area,yolk_embryo_ratio,mom,Treatment,Day_of_Exp,Julian_date,Elevation
1,1,1,1,1474869,2611277,0.564807564,Higher zone WINTER 1,Control,5,16,Higher
2,2,2,2,1194466,2381568,0.50154604,Higher zone WINTER 1,Control,5,16,Higher
3,3,3,3,1416672,2624153,0.539858766,Higher zone WINTER 1,Control,5,16,Higher
4,4,4,4,1717760,2774968,0.619019751,Higher zone WINTER 1,Control,5,16,Higher
5,5,5,5,1712076,2586396,0.661954318,Higher zone WINTER 1,Control,5,16,Higher
6,6,6,6,1143233,2378178,0.480718012,Higher zone WINTER 1,Control,5,16,Higher
7,7,7,7,1612536,2733237,0.589972988,Higher zone WINTER 1,Control,5,16,Higher
8,8,8,8,1100539,2368885,0.464581016,Higher zone WINTER 1,Control,5,16,Higher
9,9,9,9,1780014,2875856,0.618951018,Higher zone WINTER 1,Control,5,16,Higher
10,10,10,10,1750312,2758657,0.634479749,Higher zone WINTER 1,Control,5,16,Higher
11,11,11,11,1281807,2490708,0.514635598,Higher zone WINTER 1,Control,5,16,Higher
12,12,12,12,1560927,2734521,0.570822824,Higher zone WINTER 1,Control,5,16,Higher
13,97,1,1,1220293,2883912,0.423138085,Higher zone WINTER 1,Control,12,23,Higher
14,98,2,2,1398185,2876374,0.486092907,Higher zone WINTER 1,Control,12,23,Higher
15,99,3,3,1259117,2886188,0.436256058,Higher zone WINTER 1,Control,12,23,Higher
16,100,4,4,1154380,2762491,0.417876475,Higher zone WINTER 1,Control,12,23,Higher
17,101,5,5,1475195,2861712,0.515493872,Higher zone WINTER 1,Control,12,23,Higher
18,102,6,6,1265199,2829112,0.44720711,Higher zone WINTER 1,Control,12,23,Higher
19,103,7,7,969370,2843506,0.340906613,Higher zone WINTER 1,Control,12,23,Higher
20,104,8,8,1030126,2816714,0.365719061,Higher zone WINTER 1,Control,12,23,Higher
21,105,9,9,1633086,3068044,0.532288976,Higher zone WINTER 1,Control,12,23,Higher
22,106,10,10,1412127,2936790,0.480840305,Higher zone WINTER 1,Control,12,23,Higher
23,107,11,11,1289217,2944733,0.437804378,Higher zone WINTER 1,Control,12,23,Higher
24,108,12,12,1294286,2888800,0.448035863,Higher zone WINTER 1,Control,12,23,Higher
25,180,1,1,988113,3131248,0.315565231,Higher zone WINTER 1,Control,21,32,Higher
26,181,2,2,845934,3144520,0.269018483,Higher zone WINTER 1,Control,21,32,Higher
27,182,3,3,908824,3211152,0.283021171,Higher zone WINTER 1,Control,21,32,Higher
28,183,4,4,913990,3286273,0.278123576,Higher zone WINTER 1,Control,21,32,Higher
29,184,5,5,1033680,3217053,0.321312705,Higher zone WINTER 1,Control,21,32,Higher
30,185,6,6,634986,3104355,0.204546838,Higher zone WINTER 1,Control,21,32,Higher
31,186,8,8,781147,3214617,0.242998466,Higher zone WINTER 1,Control,21,32,Higher
32,187,9,9,1125906,3302760,0.340898521,Higher zone WINTER 1,Control,21,32,Higher
33,188,10,10,1019956,3252296,0.313611061,Higher zone WINTER 1,Control,21,32,Higher
34,189,11,11,1077555,3353570,0.321315792,Higher zone WINTER 1,Control,21,32,Higher
35,190,12,12,923381,3329416,0.27734023,Higher zone WINTER 1,Control,21,32,Higher
36,260,1,1,611897,3094267,0.197751842,Higher zone WINTER 1,Control,28,39,Higher
37,261,2,2,711456,3492039,0.203736556,Higher zone WINTER 1,Control,28,39,Higher
38,262,3,3,648520,3255924,0.199181553,Higher zone WINTER 1,Control,28,39,Higher
39,263,4,4,513723,3091134,0.166192407,Higher zone WINTER 1,Control,28,39,Higher
40,264,5,5,763422,3396235,0.224784798,Higher zone WINTER 1,Control,28,39,Higher
41,265,6,6,847345,3443179,0.246093799,Higher zone WINTER 1,Control,28,39,Higher
42,266,8,8,559548,3469690,0.161267433,Higher zone WINTER 1,Control,28,39,Higher
43,267,9,9,713938,3588384,0.198958083,Higher zone WINTER 1,Control,28,39,Higher
44,268,10,10,923619,3460445,0.26690758,Higher zone WINTER 1,Control,28,39,Higher
45,269,11,11,887257,3579224,0.247890884,Higher zone WINTER 1,Control,28,39,Higher
46,270,12,12,826988,3516042,0.235204244,Higher zone WINTER 1,Control,28,39,Higher
47,585,1,1,701118,2405978,0.291406655,Higher zone WINTER 1,Heat Shock,4,15,Higher
48,586,2,2,6718464,1258675,5.337727372,Higher zone WINTER 1,Heat Shock,4,15,Higher
49,587,3,3,1431894,2603803,0.549924092,Higher zone WINTER 1,Heat Shock,4,15,Higher
50,588,4,4,1568930,2738050,0.573009989,Higher zone WINTER 1,Heat Shock,4,15,Higher
